               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.066931,           0.0077933,            0.003981,              0.6052,             0.45074,             0.45851,             0.22942,            0.069344,           0.0031354,           0.0032019,            0.005116,            0.005116,            0.005116
                  76,             0.06724,           0.0077654,           0.0037733,             0.63701,             0.43358,             0.48603,             0.20723,            0.070275,           0.0028867,           0.0034462,             0.00505,             0.00505,             0.00505
                  77,            0.068178,           0.0078458,           0.0039287,             0.73442,             0.42641,             0.51376,             0.25415,            0.067014,           0.0028489,           0.0036882,            0.004984,            0.004984,            0.004984
                  78,            0.066247,           0.0079552,           0.0038122,             0.67671,             0.50133,             0.52396,             0.24227,            0.066252,           0.0028879,           0.0030956,            0.004918,            0.004918,            0.004918
                  79,            0.066343,           0.0079374,            0.004015,             0.71691,             0.49153,             0.53043,             0.24845,            0.065078,            0.002843,            0.002588,            0.004852,            0.004852,            0.004852
                  80,            0.067514,           0.0081157,           0.0039126,             0.67066,             0.47561,             0.50824,             0.24749,            0.066707,           0.0028811,           0.0043486,            0.004786,            0.004786,            0.004786
                  81,            0.068512,           0.0079628,           0.0041406,              0.7078,             0.48996,             0.53438,             0.23706,            0.065129,           0.0029563,           0.0021494,             0.00472,             0.00472,             0.00472
                  82,            0.066749,           0.0079349,            0.003369,             0.66412,             0.46914,             0.51271,             0.22217,             0.06534,           0.0028472,           0.0025473,            0.004654,            0.004654,            0.004654
                  83,            0.066025,           0.0077359,           0.0037939,             0.69161,             0.47689,             0.52109,             0.23118,            0.066056,           0.0029247,           0.0042343,            0.004588,            0.004588,            0.004588
                  84,            0.065995,           0.0078102,           0.0040784,             0.64678,             0.45149,             0.48064,             0.23863,            0.066683,           0.0029528,           0.0041619,            0.004522,            0.004522,            0.004522
                  85,            0.067438,            0.007989,           0.0034984,             0.69178,             0.47693,             0.52838,             0.24591,            0.064699,           0.0028999,           0.0023347,            0.004456,            0.004456,            0.004456
